2.649619722611791239e+00,7.010403579336863533e-01
2.652288521337488714e+00,7.110066849818653667e-01
2.649624462766923649e+00,7.109606715144051181e-01
2.648213624588706683e+00,7.010295893466506056e-01
2.638460951412321620e+00,6.911224239966073934e-01
2.638454924065209983e+00,6.911224204665878945e-01
2.695475942375548772e+00,7.113751932676283252e-01
2.670052973133648422e+00,7.112223511679621746e-01
2.674034101503709682e+00,7.112716721778796769e-01
2.655150511388473245e+00,7.110533561199492425e-01
2.678870500915789155e+00,7.112808833638565309e-01
2.641659253497830928e+00,7.009831386106086804e-01
2.692951739328877103e+00,7.113699842299466836e-01
2.679913091246859391e+00,7.113113473343628534e-01
2.662317608842385219e+00,7.111293841438706131e-01
2.698283854348906718e+00,7.113771853651879029e-01
2.667673470842211625e+00,7.111888797635836923e-01
2.660783561758173654e+00,7.111279246900639173e-01
2.684410566439265455e+00,7.113399523415946391e-01
2.685606749699957163e+00,7.113464433017580024e-01
